fits_file,slice_idx,epoch,wave,mjd,phase,flux
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,627,epoch1,lw,59980.83487524679,0.4149184862617403,22.88580399050441
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,113,epoch1,lw,59980.80169038634,0.5025412292743567,34.99791977823877
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2347,epoch1,lw,59980.945921859595,0.5458303166960832,23.644703849503102
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2694,epoch1,lw,59981.15716866382,0.5483539713313803,37.247210259246096
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2051,epoch1,lw,59980.92681151249,0.5651618125266396,21.560638220892972
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,1508,epoch1,lw,59981.08059815482,0.5987842390604783,21.99845866287237
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,319,epoch1,lw,59981.00383395842,0.6088695984799415,36.31565708918843
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1165,epoch1,lw,59980.86960959461,0.6500526020827238,35.445751181087665
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,868,epoch1,lw,59980.850434685155,0.6559358198719565,19.623106524653966
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,249,epoch1,lw,59980.999314619476,0.6674952685134485,35.84460383856544
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2184,epoch1,lw,59981.12424205389,0.6897700594563503,19.73396683439864
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1912,epoch1,lw,59980.91783739676,0.6958613949245773,35.07364464805864
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,1441,epoch1,lw,59981.076272502076,0.697754574532155,20.276573180411017
jw01666001001_02102_00001-seg003_nrcblong_o001_crfints,79,epoch1,lw,59981.17718287759,0.7172971112886444,33.34333826885468
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,576,epoch1,lw,59980.83158258555,0.7290600460837595,33.91781665140312
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2435,epoch1,lw,59980.95160331413,0.7292723030841444,15.749357040044387
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2066,epoch1,lw,59980.92777994225,0.7668848806642927,14.892645975249197
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,331,epoch1,lw,59981.00460870223,0.7702480524312705,30.041789999271895
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2587,epoch1,lw,59980.96141673557,0.7733993619913235,29.28438131593676
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,61,epoch1,lw,59980.79833316308,0.8032345763931517,28.795168920876293
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2639,epoch1,lw,59981.15361775492,0.8087027681467589,28.92245364969795
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1698,epoch1,lw,59980.904021132206,0.8179456337820739,12.928481048025649
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2272,epoch1,lw,59981.12992350817,0.8732119922933634,27.131356861634927
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1480,epoch1,lw,59980.889946619674,0.8862370457791258,11.206816555069727
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,1456,epoch1,lw,59981.07724093179,0.899477632221533,26.598777457501345
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2200,epoch1,lw,59981.12527504558,0.9049413209431805,11.005928783228871
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,738,epoch1,lw,59980.842041627126,0.907669210806489,10.704309807334951
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,1680,epoch1,lw,59981.09170281557,0.9118753135553561,9.130456048375594
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,639,epoch1,lw,59981.02449379276,0.9122949317970779,9.513814526413054
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2152,epoch1,lw,59980.933332272834,0.9234304609708488,9.530150367263436
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,368,epoch1,lw,59980.81815369262,0.9318334539711941,9.403499688564592
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1186,epoch1,lw,59980.87096539628,0.9324648986221291,9.511980328592221
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2054,epoch1,lw,59981.115848996415,0.9415035631973296,26.06116772575374
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,890,epoch1,lw,59980.851855048815,0.9517963216349017,20.532907843064503
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1560,epoch1,lw,59980.895111578415,0.9620934110425878,17.91621337680037
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,966,epoch1,lw,59980.85676175967,0.9738598793919664,0.44807440495090395
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2727,epoch1,lw,59981.15929920917,0.9921446950756945,-0.6078110996835596
jw01666001001_02102_00001-seg003_nrcblong_o001_crfints,100,epoch1,lw,59981.17853867916,0.999709387018811,-1.3221072093996253
